Palabra, veces usada, porcentaje
A,78,2.295468%
Aah,2,0.058858%
abra,1,0.029429%
abrigo,2,0.058858%
Acabando,1,0.029429%
acercaba,1,0.029429%
Acordeón,1,0.029429%
actitud,1,0.029429%
Acércate,2,0.058858%
afuego,1,0.029429%
aguanto,8,0.235433%
Aguardiente,1,0.029429%
ah,12,0.353149%
Ahi,3,0.088287%
ahora,6,0.176574%
ahí,1,0.029429%
aire,1,0.029429%
al,7,0.206004%
Alegría,1,0.029429%
alga,1,0.029429%
alma,13,0.382578%
Amanecer,1,0.029429%
amantes,1,0.029429%
amarillo,1,0.029429%
amarrao,2,0.058858%
ambición,1,0.029429%
amor,13,0.382578%
amores,1,0.029429%
Anda,1,0.029429%
andando,2,0.058858%
ando,3,0.088287%
anhelo,1,0.029429%
apague,1,0.029429%
apecha,1,0.029429%
Aprende,1,0.029429%
Aqui,2,0.058858%
aquí,1,0.029429%
Arranca,2,0.058858%
Arrancó,1,0.029429%
arriba,2,0.058858%
asesinado,1,0.029429%
aspirina,6,0.176574%
así,4,0.117716%
atención,2,0.058858%
atrevo,1,0.029429%
Ave,1,0.029429%
Ay,6,0.176574%
Ayy,1,0.029429%
azucenas,2,0.058858%
aún,1,0.029429%
bacano,1,0.029429%
baguette,1,0.029429%
Baila,15,0.441436%
bailando,2,0.058858%
bailar,3,0.088287%
bailarín,1,0.029429%
baile,2,0.058858%
bajar,1,0.029429%
baje,3,0.088287%
banana,2,0.058858%
barbería,1,0.029429%
barceló,1,0.029429%
Barreras,1,0.029429%
barrios,1,0.029429%
Bastante,1,0.029429%
bate,6,0.176574%
Beben,1,0.029429%
beber,1,0.029429%
bebé,2,0.058858%
besa,10,0.294291%
besarte,1,0.029429%
besas,1,0.029429%
bese,1,0.029429%
beso,9,0.264862%
besos,3,0.088287%
Besándome,8,0.235433%
bien,6,0.176574%
bilirrubina,20,0.588582%
bobo,1,0.029429%
boca,1,0.029429%
Body,1,0.029429%
bombero,6,0.176574%
bonito,3,0.088287%
borracho,3,0.088287%
botellas,1,0.029429%
Brillo,1,0.029429%
Brindo,1,0.029429%
brother,1,0.029429%
brum,4,0.117716%
buen,1,0.029429%
buena,7,0.206004%
bueno,1,0.029429%
Bulla,4,0.117716%
bum,4,0.117716%
buscarte,1,0.029429%
bésame,19,0.559152%
búscate,2,0.058858%
ca,1,0.029429%
caballero,1,0.029429%
caballo,1,0.029429%
cabe,1,0.029429%
cabeza,2,0.058858%
cabrón,1,0.029429%
cadena,1,0.029429%
caja,1,0.029429%
Calientita,1,0.029429%
callejones,2,0.058858%
calma,2,0.058858%
calor,2,0.058858%
cama,5,0.147145%
Camarote,1,0.029429%
cambie,2,0.058858%
Cantele,1,0.029429%
cantinero,1,0.029429%
Caribeños,1,0.029429%
cariño,5,0.147145%
cariñosamente,1,0.029429%
carnaval,1,0.029429%
carne,6,0.176574%
carnicero,6,0.176574%
carro,1,0.029429%
casa,1,0.029429%
caso,10,0.294291%
casos,1,0.029429%
catéter,2,0.058858%
causa,1,0.029429%
cegado,1,0.029429%
Cepilla,2,0.058858%
cerro,4,0.117716%
cerveza,2,0.058858%
chapa,1,0.029429%
chauffeur,1,0.029429%
Chequea,1,0.029429%
chichones,2,0.058858%
chin,1,0.029429%
Chocando,1,0.029429%
choco,1,0.029429%
ciencia,1,0.029429%
Cierto,1,0.029429%
cinta,1,0.029429%
cintura,3,0.088287%
cirugía,1,0.029429%
ciudades,1,0.029429%
cochero,1,0.029429%
cocinero,1,0.029429%
cogeindo,1,0.029429%
colmadón,2,0.058858%
color,2,0.058858%
colores,1,0.029429%
comida,1,0.029429%
Comienzo,1,0.029429%
Como,25,0.735727%
comoquiera,1,0.029429%
comprar,1,0.029429%
comprobados,1,0.029429%
Con,37,1.088876%
condena,8,0.235433%
conga,1,0.029429%
congero,1,0.029429%
conmigo,3,0.088287%
contamina,6,0.176574%
contento,1,0.029429%
contigo,5,0.147145%
controversial,1,0.029429%
corazón,3,0.088287%
Coro,1,0.029429%
Corriente,2,0.058858%
corrupción,1,0.029429%
cosa,3,0.088287%
cree,1,0.029429%
cristiana,1,0.029429%
Cuando,29,0.853443%
cuento,1,0.029429%
Cuerpo,2,0.058858%
cómo,5,0.147145%
Dale,3,0.088287%
dame,6,0.176574%
dan,1,0.029429%
dar,3,0.088287%
darte,3,0.088287%
de,40,1.177163%
Dejalo,1,0.029429%
dejan,1,0.029429%
dejar,1,0.029429%
dejaste,8,0.235433%
dejemos,1,0.029429%
del,49,1.442025%
delicadeza,1,0.029429%
derecha,1,0.029429%
Derecho,1,0.029429%
descontrola,5,0.147145%
Descubrió,1,0.029429%
Desde,8,0.235433%
desea,2,0.058858%
Desorden,1,0.029429%
despacito,1,0.029429%
despegas,1,0.029429%
despierto,1,0.029429%
Despues,1,0.029429%
despué,1,0.029429%
Después,3,0.088287%
Diablo,1,0.029429%
diagnosticaron,1,0.029429%
diario,1,0.029429%
Dice,4,0.117716%
dices,1,0.029429%
diciendo,1,0.029429%
diciéndote,1,0.029429%
dieron,1,0.029429%
digan,3,0.088287%
digo,3,0.088287%
Dijo,1,0.029429%
dime,7,0.206004%
dinero,17,0.500294%
Dio,2,0.058858%
disfruta,2,0.058858%
Dominicana,1,0.029429%
Don,2,0.058858%
donde,4,0.117716%
dulcemente,1,0.029429%
Duro,2,0.058858%
Dámelo,1,0.029429%
dé,2,0.058858%
día,1,0.029429%
dónde,3,0.088287%
e,4,0.117716%
el,98,2.884049%
Ella,10,0.294291%
ellos,2,0.058858%
emborrachaste,1,0.029429%
en,56,1.648028%
encuentras,1,0.029429%
encuentro,1,0.029429%
enfermería,1,0.029429%
enpiqui,1,0.029429%
Entera,1,0.029429%
entero,1,0.029429%
equis,1,0.029429%
es,41,1.206592%
esa,14,0.412007%
escaparme,1,0.029429%
escenario,2,0.058858%
ese,2,0.058858%
eso,18,0.529723%
esquina,6,0.176574%
esta,20,0.588582%
estaban,1,0.029429%
estabas,2,0.058858%
estamos,5,0.147145%
este,3,0.088287%
estillo,1,0.029429%
estilo,2,0.058858%
esto,6,0.176574%
estoy,8,0.235433%
está,2,0.058858%
estás,1,0.029429%
Everybody,1,0.029429%
Exigió,1,0.029429%
extrajero,1,0.029429%
extrañar,1,0.029429%
extrañarte,1,0.029429%
ey,38,1.118305%
falda,1,0.029429%
faltas,1,0.029429%
familia,1,0.029429%
favor,1,0.029429%
fiebre,1,0.029429%
fiesta,3,0.088287%
figurin,2,0.058858%
Fijate,1,0.029429%
Fondo,1,0.029429%
Forma,1,0.029429%
Francamente,1,0.029429%
frente,1,0.029429%
frió,2,0.058858%
fue,5,0.147145%
fuego,8,0.235433%
Fuerte,1,0.029429%
fui,4,0.117716%
Fulano,1,0.029429%
full,1,0.029429%
funciona,1,0.029429%
funcionario,1,0.029429%
futbolista,1,0.029429%
gallinas,1,0.029429%
gastar,1,0.029429%
gente,5,0.147145%
Get,1,0.029429%
gloria,4,0.117716%
gol,1,0.029429%
goza,6,0.176574%
gozadera,8,0.235433%
Gozando,1,0.029429%
gozar,5,0.147145%
grita,1,0.029429%
Gualla,2,0.058858%
Guallalo,1,0.029429%
Guallando,1,0.029429%
guapo,1,0.029429%
gusta,17,0.500294%
gustan,2,0.058858%
ha,2,0.058858%
habla,1,0.029429%
hace,2,0.058858%
hacemos,1,0.029429%
hacer,2,0.058858%
Hagan,3,0.088287%
hagas,10,0.294291%
hago,4,0.117716%
han,3,0.088287%
Hasta,4,0.117716%
hay,3,0.088287%
Haz,1,0.029429%
he,4,0.117716%
hembras,2,0.058858%
Here,1,0.029429%
herencia,1,0.029429%
herrero,1,0.029429%
hierro,1,0.029429%
Hijo,1,0.029429%
hombre,2,0.058858%
hondo,1,0.029429%
Hoy,2,0.058858%
hubo,1,0.029429%
Huye,1,0.029429%
Indios,1,0.029429%
insulina,2,0.058858%
intelectual,1,0.029429%
inyectaron,1,0.029429%
inyéctame,2,0.058858%
izquierda,1,0.029429%
jah,1,0.029429%
Joya,1,0.029429%
juega,1,0.029429%
juego,1,0.029429%
jugada,10,0.294291%
jugoso,2,0.058858%
juguetone,2,0.058858%
Juntos,1,0.029429%
karateca,1,0.029429%
la,155,4.561507%
labios,9,0.264862%
Lante,1,0.029429%
Las,6,0.176574%
Latigo,1,0.029429%
Latin,1,0.029429%
Latina,1,0.029429%
Latino,1,0.029429%
latía,1,0.029429%
le,25,0.735727%
leal,1,0.029429%
lejo,1,0.029429%
Lentes,1,0.029429%
Levante,1,0.029429%
lindo,1,0.029429%
Llama,2,0.058858%
Llaman,1,0.029429%
llame,1,0.029429%
llega,2,0.058858%
llegue,2,0.058858%
llegó,3,0.088287%
llena,2,0.058858%
llenos,1,0.029429%
lleva,4,0.117716%
llevas,3,0.088287%
llevo,1,0.029429%
Lo,28,0.824014%
Loba,1,0.029429%
loca,5,0.147145%
loco,1,0.029429%
los,12,0.353149%
luego,1,0.029429%
luz,2,0.058858%
macho,2,0.058858%
Magia,1,0.029429%
magnate,1,0.029429%
mal,1,0.029429%
maldita,1,0.029429%
mambo,3,0.088287%
mami,7,0.206004%
man,7,0.206004%
Manera,1,0.029429%
mano,5,0.147145%
mar,1,0.029429%
Maravillosa,1,0.029429%
marinero,1,0.029429%
Martillo,1,0.029429%
María,1,0.029429%
mas,3,0.088287%
matan,1,0.029429%
me,104,3.060624%
mejor,2,0.058858%
Meneíto,2,0.058858%
Mera,1,0.029429%
merece,1,0.029429%
Merengueao,1,0.029429%
meter,1,0.029429%
mi,21,0.618011%
miedo,1,0.029429%
mil,1,0.029429%
mira,8,0.235433%
mirando,2,0.058858%
miras,12,0.353149%
miro,12,0.353149%
mismo,1,0.029429%
miña,1,0.029429%
moja,1,0.029429%
mojamo,3,0.088287%
Mojando,1,0.029429%
momento,2,0.058858%
mona,2,0.058858%
money,1,0.029429%
mono,12,0.353149%
Montaña,1,0.029429%
montones,1,0.029429%
morena,2,0.058858%
morir,1,0.029429%
mortifica,6,0.176574%
Move,1,0.029429%
Moviendo,4,0.117716%
mucha,2,0.058858%
mucho,10,0.294291%
Muchos,2,0.058858%
muere,2,0.058858%
Mueve,2,0.058858%
mujer,29,0.853443%
mujeres,2,0.058858%
mundo,5,0.147145%
Más,2,0.058858%
mí,5,0.147145%
mía,3,0.088287%
Nación,1,0.029429%
nada,10,0.294291%
nadie,2,0.058858%
nde,2,0.058858%
negra,5,0.147145%
Negro,1,0.029429%
Nena,1,0.029429%
neverita,1,0.029429%
ni,6,0.176574%
No,74,2.177752%
noche,4,0.117716%
noches,2,0.058858%
normal,1,0.029429%
nos,6,0.176574%
