Palabra, veces usada, porcentaje
a,42,1.381579%
abrazo,1,0.032895%
abrió,1,0.032895%
acaba,2,0.065789%
acaricio,1,0.032895%
acercó,1,0.032895%
aclarar,1,0.032895%
activaba,1,0.032895%
actúas,9,0.296053%
acuerdo,2,0.065789%
adoraría,4,0.131579%
advirtieron,1,0.032895%
agarré,2,0.065789%
ahora,13,0.427632%
aire,2,0.065789%
Aires,1,0.032895%
al,7,0.230263%
Algo,9,0.296053%
alguien,5,0.164474%
Aléjate,2,0.065789%
amado,1,0.032895%
amar,8,0.263158%
amarme,3,0.098684%
amarte,1,0.032895%
amaré,1,0.032895%
amiga,4,0.131579%
amigas,1,0.032895%
amigo,1,0.032895%
amigos,4,0.131579%
amistad,1,0.032895%
amor,15,0.493421%
amores,1,0.032895%
amé,1,0.032895%
Ando,3,0.098684%
anotándolos,1,0.032895%
antes,10,0.328947%
antojos,1,0.032895%
apartamento,1,0.032895%
apoyándote,1,0.032895%
aproveché,2,0.065789%
aquí,4,0.131579%
arruinaríamos,1,0.032895%
artista,1,0.032895%
aseguro,1,0.032895%
así,10,0.328947%
atrás,1,0.032895%
aunque,2,0.065789%
autopista,1,0.032895%
auténtico,1,0.032895%
avisa,1,0.032895%
avión,2,0.065789%
azul,1,0.032895%
año,1,0.032895%
aún,1,0.032895%
Baby,1,0.032895%
baila,3,0.098684%
baile,1,0.032895%
bailes,1,0.032895%
bajé,2,0.065789%
bala,2,0.065789%
banda,1,0.032895%
bar,1,0.032895%
barata,1,0.032895%
beba,1,0.032895%
Bebé,1,0.032895%
besando,2,0.065789%
beso,2,0.065789%
besos,4,0.131579%
bien,23,0.756579%
Biza,1,0.032895%
blanco,1,0.032895%
bloqueé,1,0.032895%
Bogotá,1,0.032895%
botellas,1,0.032895%
brindar,1,0.032895%
buenos,4,0.131579%
buscar,1,0.032895%
buscaré,1,0.032895%
busco,1,0.032895%
cabe,6,0.197368%
cada,2,0.065789%
cambiado,1,0.032895%
cambian,1,0.032895%
cambié,6,0.197368%
camino,2,0.065789%
Canaria,1,0.032895%
cancela,2,0.065789%
canto,1,0.032895%
cara,1,0.032895%
caras,1,0.032895%
caso,1,0.032895%
caímos,2,0.065789%
cerca,1,0.032895%
cesa,1,0.032895%
champán,1,0.032895%
chistes,1,0.032895%
ciega,1,0.032895%
cielo,1,0.032895%
claro,1,0.032895%
club,2,0.065789%
colección,3,0.098684%
Colombia,1,0.032895%
color,1,0.032895%
combina,1,0.032895%
combo,1,0.032895%
como,9,0.296053%
comparo,1,0.032895%
completarte,1,0.032895%
comprendo,2,0.065789%
