Palabra, veces usada, porcentaje
A,43,2.026390%
abunden,1,0.047125%
Abusadas,3,0.141376%
Acapulco,1,0.047125%
acercando,1,0.047125%
adiós,6,0.282752%
adorarte,2,0.094251%
adoro,1,0.047125%
Adriel,2,0.094251%
afuera,1,0.047125%
agarro,1,0.047125%
aguanta,2,0.094251%
ahora,7,0.329877%
ahí,2,0.094251%
aire,1,0.047125%
al,8,0.377003%
alegría,1,0.047125%
alejo,1,0.047125%
algo,2,0.094251%
algún,1,0.047125%
aliento,3,0.141376%
alma,1,0.047125%
altas,2,0.094251%
alter,1,0.047125%
aman,1,0.047125%
amar,1,0.047125%
amas,1,0.047125%
Amigo,5,0.235627%
amigos,1,0.047125%
amor,20,0.942507%
amándonos,1,0.047125%
andamos,2,0.094251%
ande,1,0.047125%
angustia,1,0.047125%
ante,2,0.094251%
anunciando,1,0.047125%
aprende,2,0.094251%
aquel,2,0.094251%
Aquí,1,0.047125%
armas,1,0.047125%
aro,1,0.047125%
arriero,1,0.047125%
asesino,2,0.094251%
Asfíxialas,2,0.094251%
así,3,0.141376%
Atendiendo,1,0.047125%
atrás,2,0.094251%
Aunque,2,0.094251%
ausencia,1,0.047125%
aventurero,8,0.377003%
ay,21,0.989632%
ayer,1,0.047125%
babosos,1,0.047125%
bailo,2,0.094251%
banco,1,0.047125%
baraja,1,0.047125%
bateando,1,0.047125%
besos,5,0.235627%
bien,1,0.047125%
billete,1,0.047125%
bohemio,1,0.047125%
bonitas,2,0.094251%
bonito,4,0.188501%
brake,1,0.047125%
bravo,1,0.047125%
brilla,1,0.047125%
buen,3,0.141376%
buenas,3,0.141376%
busca,2,0.094251%
cabrón,1,0.047125%
cada,1,0.047125%
cambie,5,0.235627%
camino,1,0.047125%
canciones,3,0.141376%
canción,1,0.047125%
cantando,1,0.047125%
cantar,1,0.047125%
cantarte,2,0.094251%
caras,3,0.141376%
Carin,2,0.094251%
cariño,3,0.141376%
carro,1,0.047125%
casa,1,0.047125%
caso,1,0.047125%
celosas,1,0.047125%
celosos,1,0.047125%
ceros,1,0.047125%
cerrado,1,0.047125%
cha,3,0.141376%
Chalino,1,0.047125%
champagne,1,0.047125%
chaparritas,2,0.094251%
chatas,3,0.141376%
chele,1,0.047125%
chingazos,2,0.094251%
chiquititas,2,0.094251%
cielo,4,0.188501%
cobarde,1,0.047125%
como,5,0.235627%
compadre,1,0.047125%
compadrito,2,0.094251%
comprenda,2,0.094251%
Con,15,0.706880%
conciencia,1,0.047125%
conocido,4,0.188501%
conocí,5,0.235627%
consejo,2,0.094251%
Consigue,2,0.094251%
contar,2,0.094251%
contigo,1,0.047125%
continuar,1,0.047125%
Contágialas,2,0.094251%
corazón,3,0.141376%
cosa,10,0.471254%
Crecí,2,0.094251%
creer,2,0.094251%
cual,1,0.047125%
cualquier,1,0.047125%
cuando,7,0.329877%
Cuanto,2,0.094251%
cuello,1,0.047125%
cuento,2,0.094251%
cuerpo,3,0.141376%
cuiden,1,0.047125%
cuándo,1,0.047125%
cuántos,2,0.094251%
cómo,3,0.141376%
cómprate,2,0.094251%
daga,2,0.094251%
darte,2,0.094251%
daría,1,0.047125%
de,75,3.534402%
decir,1,0.047125%
decirte,2,0.094251%
dejo,1,0.047125%
del,1,0.047125%
dentro,3,0.141376%
derramado,1,0.047125%
des,1,0.047125%
desconfiado,1,0.047125%
desde,5,0.235627%
desdenes,1,0.047125%
deseo,2,0.094251%
despedidas,1,0.047125%
despierto,1,0.047125%
Despiértalas,1,0.047125%
desprecio,1,0.047125%
Después,2,0.094251%
destino,1,0.047125%
detalles,2,0.094251%
diamantes,1,0.047125%
dices,1,0.047125%
diga,1,0.047125%
digo,4,0.188501%
dijiste,2,0.094251%
dijo,2,0.094251%
dinero,4,0.188501%
Dios,4,0.188501%
Dirás,1,0.047125%
disfrutar,2,0.094251%
divorciaditas,2,0.094251%
dolor,1,0.047125%
don,1,0.047125%
dormido,1,0.047125%
Doy,4,0.188501%
duele,3,0.141376%
dulzuras,2,0.094251%
déjate,1,0.047125%
día,3,0.141376%
díselo,2,0.094251%
e,1,0.047125%
Ea,1,0.047125%
ego,1,0.047125%
el,43,2.026390%
empezar,2,0.094251%
en,18,0.848256%
encanta,1,0.047125%
encantan,4,0.188501%
encuentro,1,0.047125%
enfoco,1,0.047125%
enseñaron,1,0.047125%
enseñó,1,0.047125%
entramos,1,0.047125%
entre,2,0.094251%
entrego,1,0.047125%
entro,1,0.047125%
envuelto,1,0.047125%
envuelva,2,0.094251%
equivocada,1,0.047125%
equivocaste,2,0.094251%
era,2,0.094251%
eres,7,0.329877%
errores,1,0.047125%
es,16,0.754006%
escuchando,1,0.047125%
ese,2,0.094251%
eso,11,0.518379%
esos,1,0.047125%
especial,1,0.047125%
espejo,1,0.047125%
esperarte,1,0.047125%
esperas,1,0.047125%
esta,3,0.141376%
estar,3,0.141376%
estaré,1,0.047125%
este,2,0.094251%
estoy,5,0.235627%
estrellas,2,0.094251%
está,1,0.047125%
estás,3,0.141376%
estés,1,0.047125%
eterno,5,0.235627%
explicar,2,0.094251%
extrañarte,1,0.047125%
fallaste,4,0.188501%
falles,2,0.094251%
falta,4,0.188501%
fatal,2,0.094251%
Favela,2,0.094251%
favor,5,0.235627%
felicidad,1,0.047125%
feliz,2,0.094251%
fijo,1,0.047125%
flacas,2,0.094251%
flores,3,0.141376%
forjó,1,0.047125%
fue,3,0.141376%
fui,2,0.094251%
gallina,1,0.047125%
gallo,1,0.047125%
gastar,1,0.047125%
golpe,1,0.047125%
golpes,1,0.047125%
gordas,3,0.141376%
gracias,4,0.188501%
Gucci,1,0.047125%
gusta,5,0.235627%
gustan,3,0.141376%
haber,1,0.047125%
haberte,4,0.188501%
hablo,1,0.047125%
hace,2,0.094251%
hacen,1,0.047125%
hago,5,0.235627%
han,3,0.141376%
hasta,3,0.141376%
hay,5,0.235627%
he,8,0.377003%
hecho,1,0.047125%
hermanos,1,0.047125%
hermosa,1,0.047125%
hicieron,1,0.047125%
hiciste,2,0.094251%
hijitas,1,0.047125%
Hiriendo,1,0.047125%
historias,1,0.047125%
hizo,3,0.141376%
hombre,3,0.141376%
hombres,1,0.047125%
honrado,1,0.047125%
hora,1,0.047125%
horrible,2,0.094251%
hoy,5,0.235627%
hubieran,1,0.047125%
huevos,1,0.047125%
igual,2,0.094251%
importa,4,0.188501%
ingratas,1,0.047125%
inolvidable,1,0.047125%
inventado,1,0.047125%
iré,3,0.141376%
jamás,1,0.047125%
jarabe,1,0.047125%
juego,1,0.047125%
jurar,2,0.094251%
juro,1,0.047125%
la,43,2.026390%
ladra,1,0.047125%
ladrarte,1,0.047125%
ladró,1,0.047125%
lara,26,1.225259%
Las,25,1.178134%
le,8,0.377003%
lejos,2,0.094251%
les,5,0.235627%
letra,1,0.047125%
ley,2,0.094251%
León,2,0.094251%
llanto,1,0.047125%
llegada,1,0.047125%
llegar,4,0.188501%
Llegaste,1,0.047125%
