Palabra, veces usada, porcentaje
a,72,1.921537%
aburrió,1,0.026688%
acabó,1,0.026688%
acelerar,1,0.026688%
acerques,2,0.053376%
acá,2,0.053376%
adiós,1,0.026688%
admiro,1,0.026688%
advertí,1,0.026688%
adónde,1,0.026688%
afuera,1,0.026688%
aguantar,1,0.026688%
Ah,50,1.334401%
ahogo,1,0.026688%
ahora,12,0.320256%
ahí,9,0.240192%
aire,3,0.080064%
al,10,0.266880%
alejas,1,0.026688%
alejo,3,0.080064%
algo,1,0.026688%
Alguien,1,0.026688%
algún,1,0.026688%
Alright,2,0.053376%
altera,2,0.053376%
amamos,4,0.106752%
amas,2,0.053376%
AMG,1,0.026688%
amiga,3,0.080064%
amigas,1,0.026688%
amigo,1,0.026688%
amor,21,0.560448%
amores,1,0.026688%
Anda,3,0.080064%
andas,2,0.053376%
ando,2,0.053376%
Anoche,3,0.080064%
Ante,1,0.026688%
Antes,32,0.854017%
aparece,1,0.026688%
aquellos,1,0.026688%
aquí,3,0.080064%
Argentina,2,0.053376%
arrebatada,2,0.053376%
arreglamos,5,0.133440%
arrepentí,1,0.026688%
asesina,2,0.053376%
Así,36,0.960769%
atrasó,1,0.026688%
atrás,1,0.026688%
audiencia,1,0.026688%
Aunque,5,0.133440%
averg�,1,0.026688%
avisar,1,0.026688%
Ay,7,0.186816%
años,1,0.026688%
Ba,8,0.213504%
Baby,19,0.507072%
Babylon,4,0.106752%
Bailando,2,0.053376%
bailar,1,0.026688%
bastante,1,0.026688%
beber,1,0.026688%
bebé,4,0.106752%
Benz,1,0.026688%
besa,2,0.053376%
besarle,2,0.053376%
beso,5,0.133440%
besé,4,0.106752%
bien,10,0.266880%
Big,1,0.026688%
Billy,1,0.026688%
boca,4,0.106752%
bola,1,0.026688%
borrar,1,0.026688%
borrarte,4,0.106752%
borro,1,0.026688%
Borré,1,0.026688%
botella,2,0.053376%
boy,2,0.053376%
Boyz,1,0.026688%
brandy,1,0.026688%
buen,1,0.026688%
buena,2,0.053376%
burlarme,2,0.053376%
busca,2,0.053376%
buscando,4,0.106752%
buscar,1,0.026688%
Bush,2,0.053376%
busqué,1,0.026688%
cabeza,3,0.080064%
cabrones,1,0.026688%
cada,1,0.026688%
cadera,1,0.026688%
calla,2,0.053376%
callao,2,0.053376%
calle,9,0.240192%
cama,2,0.053376%
camino,1,0.026688%
camisa,1,0.026688%
canción,1,0.026688%
Cansados,1,0.026688%
cansó,1,0.026688%
cara,3,0.080064%
carita,1,0.026688%
cartera,1,0.026688%
casa,1,0.026688%
casar,2,0.053376%
causaste,1,0.026688%
cazó,2,0.053376%
celas,1,0.026688%
celes,1,0.026688%
celular,1,0.026688%
cerca,1,0.026688%
chantaje,12,0.320256%
chica,1,0.026688%
chinga,1,0.026688%
chocolate,1,0.026688%
Christian,1,0.026688%
cielo,8,0.213504%
cien,2,0.053376%
ciento,12,0.320256%
cierto,5,0.133440%
cinco,4,0.106752%
Colombia,1,0.026688%
combo,1,0.026688%
comen,1,0.026688%
como,28,0.747264%
compás,1,0.026688%
con,23,0.613824%
Confieso,3,0.080064%
confundirse,6,0.160128%
confía,2,0.053376%
conmigo,4,0.106752%
conmuevo,1,0.026688%
conocía,1,0.026688%
contesta,1,0.026688%
Contigo,8,0.213504%
contratan,1,0.026688%
cora,2,0.053376%
corazón,8,0.213504%
correcto,3,0.080064%
cosas,1,0.026688%
costumbre,1,0.026688%
creer,2,0.053376%
creía,3,0.080064%
Cristiano,1,0.026688%
Cuando,12,0.320256%
cuartao,1,0.026688%
cuatro,1,0.026688%
cuerpo,3,0.080064%
culo,1,0.026688%
customizada,1,0.026688%
cuánto,1,0.026688%
Cómo,15,0.400320%
da,2,0.053376%
dale,3,0.080064%
dame,3,0.080064%
dan,1,0.026688%
dar,1,0.026688%
darte,5,0.133440%
daría,4,0.106752%
dañino,1,0.026688%
daño,7,0.186816%
de,81,2.161729%
decirte,1,0.026688%
deja,1,0.026688%
dejarte,2,0.053376%
dejaste,2,0.053376%
deje,1,0.026688%
dejes,1,0.026688%
dejó,1,0.026688%
del,12,0.320256%
deleite,1,0.026688%
Demasiado,2,0.053376%
deporte,1,0.026688%
desahogarme,1,0.026688%
desaparece,2,0.053376%
descansar,1,0.026688%
desde,3,0.080064%
deshaciendo,1,0.026688%
desprenderme,1,0.026688%
despreocúpate,2,0.053376%
destino,1,0.026688%
desvelándome,1,0.026688%
detrás,1,0.026688%
dice,1,0.026688%
dicen,1,0.026688%
dices,6,0.160128%
Diez,1,0.026688%
difícil,3,0.080064%
digo,3,0.080064%
dijeron,3,0.080064%
dijo,4,0.106752%
Dime,11,0.293568%
Dior,1,0.026688%
disco,1,0.026688%
Discutimos,1,0.026688%
discúlpame,1,0.026688%
distraje,1,0.026688%
divertirse,7,0.186816%
dolió,2,0.053376%
dolor,1,0.026688%
dorado,1,0.026688%
dos,4,0.106752%
doy,2,0.053376%
Drums,4,0.106752%
duele,1,0.026688%
durarme,1,0.026688%
dé,5,0.133440%
día,6,0.160128%
días,1,0.026688%
dímelo,1,0.026688%
egoísta,3,0.080064%
eh,39,1.040833%
Einstein,1,0.026688%
el,45,1.200961%
Ella,6,0.160128%
empecé,1,0.026688%
empiezan,1,0.026688%
en,60,1.601281%
enamora,1,0.026688%
enamoramos,1,0.026688%
enamorar,1,0.026688%
Enamorarme,1,0.026688%
enamoró,1,0.026688%
encanta,1,0.026688%
encuentro,1,0.026688%
enderezar,1,0.026688%
enemigo,1,0.026688%
