Palabra, veces usada, porcentaje
a,75,2.217623%
abandone,2,0.059137%
abandonó,1,0.029568%
acciederas,1,0.029568%
acelera,2,0.059137%
aceleran,4,0.118273%
acercando,2,0.059137%
actores,1,0.029568%
actos,1,0.029568%
actrices,1,0.029568%
acuerda,1,0.029568%
admiración,1,0.029568%
advierto,2,0.059137%
ahoga,1,0.029568%
Ahora,8,0.236546%
al,16,0.473093%
alcoba,1,0.029568%
alejes,1,0.029568%
algo,2,0.059137%
alguien,2,0.059137%
alguna,1,0.029568%
algún,3,0.088705%
allá,1,0.029568%
amamos,1,0.029568%
amando,2,0.059137%
amargo,2,0.059137%
amargura,2,0.059137%
Amiga,6,0.177410%
amigos,1,0.029568%
amistad,1,0.029568%
amor,27,0.798344%
Amó,1,0.029568%
Andrés,4,0.118273%
antes,2,0.059137%
antipatía,1,0.029568%
Aprende,1,0.029568%
aquel,8,0.236546%
aquellos,2,0.059137%
aquí,2,0.059137%
arrepentir,4,0.118273%
arrepiento,4,0.118273%
arte,1,0.029568%
aseguro,8,0.236546%
asi,1,0.029568%
así,8,0.236546%
atras,1,0.029568%
aun,1,0.029568%
aunque,7,0.206978%
aventura,1,0.029568%
avisar,1,0.029568%
Ay,5,0.147842%
ayer,2,0.059137%
azul,2,0.059137%
año,1,0.029568%
años,1,0.029568%
baila,1,0.029568%
bailar,8,0.236546%
Bandolera,1,0.029568%
Basta,1,0.029568%
bebí,1,0.029568%
besarte,1,0.029568%
bese,1,0.029568%
beso,1,0.029568%
besos,2,0.059137%
bien,4,0.118273%
boca,3,0.088705%
brazos,3,0.088705%
brotan,3,0.088705%
brotaron,2,0.059137%
buen,12,0.354820%
buena,11,0.325251%
busco,1,0.029568%
cabo,1,0.029568%
cada,1,0.029568%
caen,1,0.029568%
caiga,2,0.059137%
calentó,2,0.059137%
cama,1,0.029568%
cambia,1,0.029568%
Cambió,1,0.029568%
caminar,1,0.029568%
caminarme,1,0.029568%
camino,1,0.029568%
canto,1,0.029568%
cantó,1,0.029568%
caro,1,0.029568%
carterón,1,0.029568%
casa,2,0.059137%
casi,1,0.029568%
causa,4,0.118273%
causado,1,0.029568%
Causó,1,0.029568%
caí,1,0.029568%
cediendo,1,0.029568%
celos,3,0.088705%
cerca,2,0.059137%
changa,1,0.029568%
cielo,1,0.029568%
cierto,1,0.029568%
cobrando,1,0.029568%
cocha,2,0.059137%
Cometiendo,2,0.059137%
como,13,0.384388%
compasión,1,0.029568%
comportamiento,1,0.029568%
comprendera,1,0.029568%
con,28,0.827913%
concedo,1,0.029568%
confesé,2,0.059137%
conmigo,2,0.059137%
conoces,1,0.029568%
conquistó,1,0.029568%
conseguí,2,0.059137%
consuele,2,0.059137%
contado,1,0.029568%
contigo,7,0.206978%
convenga,1,0.029568%
coquetearme,5,0.147842%
corazón,6,0.177410%
corre,1,0.029568%
corregir,9,0.266115%
corriendo,1,0.029568%
cosa,6,0.177410%
cosas,4,0.118273%
crece,2,0.059137%
creo,2,0.059137%
crezcas,1,0.029568%
criado,1,0.029568%
cualquiera,1,0.029568%
Cuando,5,0.147842%
cuenta,6,0.177410%
cuerpo,14,0.413956%
culpa,1,0.029568%
Cómo,1,0.029568%
dado,1,0.029568%
Dame,1,0.029568%
daras,2,0.059137%
de,81,2.395033%
decirte,1,0.029568%
Decídete,1,0.029568%
dejas,4,0.118273%
dejé,1,0.029568%
dejó,2,0.059137%
del,21,0.620934%
demás,1,0.029568%
dentro,1,0.029568%
desapareció,1,0.029568%
descubrir,2,0.059137%
deseo,1,0.029568%
desilusión,1,0.029568%
despacio,3,0.088705%
despecho,2,0.059137%
desperté,1,0.029568%
despues,1,0.029568%
después,2,0.059137%
destacada,1,0.029568%
destino,2,0.059137%
di,2,0.059137%
dia,1,0.029568%
dice,1,0.029568%
dicho,1,0.029568%
digo,2,0.059137%
dijeron,1,0.029568%
dijo,1,0.029568%
dilema,3,0.088705%
Disculpame,1,0.029568%
divinos,1,0.029568%
dobla,9,0.266115%
dobló,1,0.029568%
doler,9,0.266115%
doliendo,3,0.088705%
dolor,1,0.029568%
domina,1,0.029568%
don,1,0.029568%
donde,3,0.088705%
dos,1,0.029568%
dramático,1,0.029568%
duele,5,0.147842%
dueño,3,0.088705%
dura,1,0.029568%
durara,4,0.118273%
durarme,3,0.088705%
déjame,1,0.029568%
día,7,0.206978%
echa,9,0.266115%
eh,4,0.118273%
