Palabra, veces usada, porcentaje
a,48,2.096986%
abrazados,1,0.043687%
acabar,3,0.131062%
Acaso,1,0.043687%
acostumbrarme,1,0.043687%
adelante,1,0.043687%
adicción,1,0.043687%
afuera,3,0.131062%
Ahora,5,0.218436%
al,7,0.305810%
alcanzar,1,0.043687%
Algo,17,0.742682%
alguien,5,0.218436%
alguna,3,0.131062%
allá,4,0.174749%
almohada,2,0.087374%
altar,2,0.087374%
amarte,1,0.043687%
amas,4,0.174749%
ambiente,1,0.043687%
amigo,3,0.131062%
amigos,3,0.131062%
amor,22,0.961118%
anda,1,0.043687%
andar,2,0.087374%
animal,1,0.043687%
ansiada,1,0.043687%
anterior,4,0.174749%
Apaga,1,0.043687%
apagar,3,0.131062%
Apagué,1,0.043687%
aprendiz,1,0.043687%
apretada,1,0.043687%
aquel,1,0.043687%
aquello,1,0.043687%
aqui,3,0.131062%
aquí,4,0.174749%
Argentina,1,0.043687%
aroma,1,0.043687%
arracadas,1,0.043687%
asi,3,0.131062%
así,4,0.174749%
atención,1,0.043687%
atracción,1,0.043687%
atrás,3,0.131062%
aunque,2,0.087374%
avanza,1,0.043687%
avisar,1,0.043687%
aviva,3,0.131062%
ayudar,1,0.043687%
aún,1,0.043687%
bala,2,0.087374%
balcón,3,0.131062%
barata,1,0.043687%
barbilla,1,0.043687%
bebé,1,0.043687%
belleza,1,0.043687%
Besar,2,0.087374%
Besarnos,3,0.131062%
besos,2,0.087374%
bien,8,0.349498%
boca,1,0.043687%
Bolivia,1,0.043687%
bonita,2,0.087374%
Brasil,1,0.043687%
brillan,1,0.043687%
brillosos,1,0.043687%
brisa,3,0.131062%
buena,1,0.043687%
buró,1,0.043687%
buscamos,2,0.087374%
buscar,3,0.131062%
cada,4,0.174749%
café,1,0.043687%
callado,1,0.043687%
cama,4,0.174749%
cambiar,2,0.087374%
cancion,3,0.131062%
canciones,1,0.043687%
canción,1,0.043687%
Cansada,3,0.131062%
canta,2,0.087374%
cantan,2,0.087374%
capricho,2,0.087374%
cara,4,0.174749%
Caribe,1,0.043687%
caricias,3,0.131062%
Casi,2,0.087374%
casual,1,0.043687%
Caída,1,0.043687%
cena,1,0.043687%
cerquita,1,0.043687%
chamarra,1,0.043687%
champán,1,0.043687%
charla,1,0.043687%
Chile,1,0.043687%
chiquita,3,0.131062%
choquen,1,0.043687%
cielo,2,0.087374%
ciertas,1,0.043687%
cierto,1,0.043687%
ciudad,3,0.131062%
cobija,1,0.043687%
Colombia,1,0.043687%
color,1,0.043687%
Comencé,1,0.043687%
comer,1,0.043687%
comete,1,0.043687%
como,8,0.349498%
comodidad,1,0.043687%
complicidad,1,0.043687%
comportado,1,0.043687%
con,10,0.436872%
condenado,1,0.043687%
conmigo,2,0.087374%
conoce,1,0.043687%
conocimos,1,0.043687%
conociste,2,0.087374%
conozco,2,0.087374%
contigo,4,0.174749%
convertí,1,0.043687%
copas,1,0.043687%
corazon,1,0.043687%
corazones,1,0.043687%
corazón,1,0.043687%
Cortar,1,0.043687%
cosa,3,0.131062%
cosas,2,0.087374%
Costa,1,0.043687%
creo,3,0.131062%
cuando,6,0.262123%
cuanto,3,0.131062%
Cuba,1,0.043687%
cubo,1,0.043687%
cuerpo,5,0.218436%
cuidad,1,0.043687%
culpa,2,0.087374%
cumpleaños,1,0.043687%
cuánto,1,0.043687%
dar,2,0.087374%
darnos,1,0.043687%
de,53,2.315422%
debe,1,0.043687%
debo,2,0.087374%
decir,3,0.131062%
Decirte,3,0.131062%
decías,3,0.131062%
dedos,1,0.043687%
defiende,1,0.043687%
defienden,1,0.043687%
dejaba,1,0.043687%
dejado,2,0.087374%
dejarte,1,0.043687%
dejas,2,0.087374%
dejaste,2,0.087374%
Dejemos,1,0.043687%
dejes,2,0.087374%
dejó,1,0.043687%
del,6,0.262123%
delicias,1,0.043687%
demás,1,0.043687%
depende,1,0.043687%
derecho,2,0.087374%
desayuno,1,0.043687%
desconfiado,1,0.043687%
descubrir,1,0.043687%
Desde,2,0.087374%
deseo,1,0.043687%
desespero,1,0.043687%
despertador,3,0.131062%
despertando,1,0.043687%
despertar,1,0.043687%
Destapa,1,0.043687%
dicen,1,0.043687%
dices,2,0.087374%
diferente,1,0.043687%
digas,2,0.087374%
dijiste,2,0.087374%
Dime,1,0.043687%
dirección,1,0.043687%
disfrutar,1,0.043687%
dispensador,1,0.043687%
diste,4,0.174749%
distinguir,1,0.043687%
distintas,1,0.043687%
domingo,1,0.043687%
Dominicana,1,0.043687%
donde,5,0.218436%
dormíamos,2,0.087374%
dos,3,0.131062%
doy,7,0.305810%
día,4,0.174749%
dímelo,2,0.087374%
