Palabra, veces usada, porcentaje
a,44,2.092249%
aah,2,0.095102%
abandonadas,1,0.047551%
abandonado,1,0.047551%
Abel,1,0.047551%
acabó,1,0.047551%
acaso,1,0.047551%
acomodarte,1,0.047551%
acordarás,1,0.047551%
afana,1,0.047551%
aflicción,1,0.047551%
afloja,1,0.047551%
afuera,1,0.047551%
agua,1,0.047551%
ah,3,0.142653%
ahora,14,0.665716%
Aires,1,0.047551%
al,11,0.523062%
alcanzan,1,0.047551%
alcohol,1,0.047551%
algo,8,0.380409%
algún,1,0.047551%
alientan,1,0.047551%
allá,2,0.095102%
alma,2,0.095102%
Almudena,1,0.047551%
alondra,1,0.047551%
amarga,1,0.047551%
amargaos,1,0.047551%
amargura,2,0.095102%
ambición,1,0.047551%
amigos,2,0.095102%
amor,6,0.285307%
angustias,1,0.047551%
anuncio,3,0.142653%
aplazaos,1,0.047551%
aprendí,1,0.047551%
apretados,1,0.047551%
aquel,3,0.142653%
aquella,1,0.047551%
aquí,2,0.095102%
arrepentido,2,0.095102%
asi,1,0.047551%
Asoma,1,0.047551%
asombros,1,0.047551%
asunto,2,0.095102%
Asuntos,1,0.047551%
así,6,0.285307%
ateo,12,0.570613%
atropello,1,0.047551%
ausencia,1,0.047551%
aviso,4,0.190204%
Ay,5,0.237756%
azul,1,0.047551%
años,1,0.047551%
aún,5,0.237756%
bachatas,1,0.047551%
bailar,10,0.475511%
bajar,6,0.285307%
bajó,3,0.142653%
bandoneón,5,0.237756%
barro,1,0.047551%
Basta,1,0.047551%
bastos,1,0.047551%
bebí,1,0.047551%
bendita,1,0.047551%
besa,2,0.095102%
besar,1,0.047551%
Biblia,1,0.047551%
bien,1,0.047551%
boca,5,0.237756%
Borra,2,0.095102%
borrarte,1,0.047551%
Bosco,1,0.047551%
botella,1,0.047551%
buena,2,0.095102%
bueno,1,0.047551%
Buenos,1,0.047551%
buey,1,0.047551%
burro,1,0.047551%
buscar,2,0.095102%
Bésame,12,0.570613%
cabeza,11,0.523062%
cada,2,0.095102%
cafetín,1,0.047551%
calle,1,0.047551%
callejón,2,0.095102%
calma,3,0.142653%
cama,1,0.047551%
cambalache,1,0.047551%
cambalaches,1,0.047551%
canción,3,0.142653%
candado,1,0.047551%
canta,3,0.142653%
cara,1,0.047551%
Caradura,1,0.047551%
cariño,1,0.047551%
Carnera,1,0.047551%
carreras,1,0.047551%
casa,3,0.142653%
