Palabra, veces usada, porcentaje
a,38,2.011646%
abraza,1,0.052938%
Abrazando,2,0.105876%
abres,2,0.105876%
abril,1,0.052938%
abrir,1,0.052938%
acaricie,1,0.052938%
acechan,1,0.052938%
acercara,1,0.052938%
acompañada,1,0.052938%
adentro,1,0.052938%
afilados,1,0.052938%
aguacero,1,0.052938%
aguas,1,0.052938%
ahora,2,0.105876%
aire,3,0.158814%
al,6,0.317628%
algo,2,0.105876%
alguien,1,0.052938%
alguna,1,0.052938%
algún,2,0.105876%
Alicia,1,0.052938%
aliento,3,0.158814%
allá,3,0.158814%
alma,2,0.105876%
amada,2,0.105876%
amanecer,1,0.052938%
amante,1,0.052938%
amar,1,0.052938%
amigo,2,0.105876%
amo,4,0.211752%
amor,9,0.476443%
amores,8,0.423505%
andar,2,0.105876%
apareciste,2,0.105876%
apuntó,1,0.052938%
aquella,1,0.052938%
aquellas,1,0.052938%
aquí,4,0.211752%
arar,1,0.052938%
arde,1,0.052938%
arena,3,0.158814%
arenas,1,0.052938%
arranque,1,0.052938%
arrastra,1,0.052938%
arregla,1,0.052938%
astro,1,0.052938%
atento,1,0.052938%
atentos,1,0.052938%
atraen,1,0.052938%
Aunque,3,0.158814%
ausencia,1,0.052938%
ayer,1,0.052938%
azul,3,0.158814%
añiles,1,0.052938%
año,1,0.052938%
años,1,0.052938%
barca,1,0.052938%
besar,1,0.052938%
bese,1,0.052938%
blanco,1,0.052938%
boca,1,0.052938%
bogando,1,0.052938%
boleto,1,0.052938%
bordando,1,0.052938%
brazos,4,0.211752%
brindar,1,0.052938%
brisa,1,0.052938%
buen,1,0.052938%
cabeza,1,0.052938%
cada,1,0.052938%
Caen,1,0.052938%
cajón,1,0.052938%
callado,2,0.105876%
callar,1,0.052938%
calle,1,0.052938%
calor,1,0.052938%
cambiado,1,0.052938%
cambien,2,0.105876%
caminar,1,0.052938%
camino,1,0.052938%
canción,3,0.158814%
cansado,1,0.052938%
cantarte,1,0.052938%
cante,1,0.052938%
cara,1,0.052938%
cargar,1,0.052938%
carne,1,0.052938%
casero,1,0.052938%
caso,1,0.052938%
catorce,1,0.052938%
cercado,1,0.052938%
cerrada,1,0.052938%
cerrado,1,0.052938%
champú,1,0.052938%
cicatriz,1,0.052938%
cierto,2,0.105876%
cigarro,1,0.052938%
civilizado,1,0.052938%
cobarde,1,0.052938%
coleta,1,0.052938%
colmas,1,0.052938%
color,4,0.211752%
columpio,1,0.052938%
comer,1,0.052938%
comerme,1,0.052938%
comienzo,1,0.052938%
como,13,0.688195%
compartir,1,0.052938%
con,21,1.111699%
conduciendo,1,0.052938%
conejos,1,0.052938%
confesado,1,0.052938%
contemplado,1,0.052938%
contemplo,1,0.052938%
contenta,1,0.052938%
contigo,12,0.635257%
conversando,1,0.052938%
corazones,1,0.052938%
corazón,2,0.105876%
cortan,1,0.052938%
Cortarme,1,0.052938%
cosas,5,0.264690%
costa,1,0.052938%
credo,1,0.052938%
cree,1,0.052938%
cruces,1,0.052938%
cual,1,0.052938%
